Length,Releases,Genres,ISRC
155.151,1,[],QM24S2402528
274.192,5,"['hip hop', 'producer tag - dj mustard']",USUG12400910
143.1865,8,['synth-pop'],QZJ842400387
200.453,30,"['yacht rock', 'alternative pop', 'pop rock', 'boogie', 'pop', 'dance-pop']",USSM12209777
227.032,20,[],USUG12403398
138.411,13,"['pop', 'rap/hip hop', 'hip hop']",USAT22311371
179.652,25,['pop'],USWB12307016
222.0,2,['latin music'],QZL382406049
,0,[],TCJPA2463708
140.733,3,[],USSM12404354
178.0,16,[],USUM72404990
,0,[],USWB12402486
179.0,33,['pop'],USUM72401991
267.706,9,['hip hop'],USSM12402041
209.8415,3,[],NLC242100307
197.0,2,"['latin', 'reggaeton']",USWL12300002
228.965,102,"['trap music', 'alternative pop', 'country rap', 'indie folk', 'pop rap', 'pop rock', 'synth-pop', 'country pop', 'pop music', 'hip hop music', 'rap rock', 'contemporary r&b', 'cloud rap', 'pop', 'country music']",USUG12401028
131.6,10,"['pop', 'breaks']",USRC12301932
343.0,25,['alternative'],USUM72401996
167.303,11,"['pop', 'synth-pop']",USSM12200612
231.875,23,"['hip hop', 'contemporary r&b']",USRC12300907
175.0,43,['pop'],USUM72403305
,0,[],TCJPA2445163
233.453,14,"['country', 'country pop', 'western music', 'pop', 'soul music']",USSM12401302
,0,[],RUA1H2415548
,0,[],BXWEH2200054
141.806,21,"['pop', 'isrc', 'electronic']",USSM12103949
96.329,6,"['pop', ""children's song""]",KRE671700001
228.639,51,"['pop', 'dnace-pop', 'synth-pop', 'electropop']",USUM72317276
206.293,5,[],USWB12400678
,0,[],TCJPA2406007
170.0,4,['asian music'],KRA402400016
200.253,14,['pop'],USSM12305126
172.973,25,"['pop', 'disco']",USWB12305048
251.146,17,"['pop', 'pop soul', 'pop rock', 'folk']",USSM12401865
,0,[],GBAYE2300351
171.0,4,['pop'],USUYG1541249
210.45866666666666,29,['pop'],USWB12302315
125.04,1,"['trap', 'hip hop']",USAT22306575
209.438,109,"['pop', 'alternative']",QZES71982312
210.373,32,['pop'],USUM72401994
145.0,2,[],KRA252300672
175.238,34,['pop'],UKWLG2200055
212.426,26,['alternative rock'],QZXDB2300005
137.773,5,"['indie rock', 'indie pop']",USJ5G2335007
186.0,29,['pop'],USUM72404101
185.917,45,"['post-disco', 'electronica', 'pop music', 'nu-disco', 'pop', 'neo-psychedelia', 'nu disco', 'dance-pop']",GBAHT2301246
,0,[],TCJPA2415647
143.0,11,['pop'],GBUM72300969
229.586,84,"['latin pop', 'latin', 'reggaeton', 'pop', 'latin urban']",USUM71607007
383.639,3,"['hardcore hip hop', 'hip hop']",USUG12402839
,0,[],GX3Q92333626
239.0,14,['pop'],NGA3B2214021
233.7125,56,"['pop rock', 'gradually watermelon', 'englisch', 'rock', 'dance-pop', 'r&b', 'indie pop', 'ed sheeran does not make sillyname tracks ಠ_ಠ', 'sillyname', 'ballad', 'singer-songwriter', 'pop', 'folk']",GBAHS1600463
166.5,1,[],EEUM72300001
218.784,142,"['electro house', 'trance', 'synth-pop', 'hiphop', 'new wave', 'deep house', 'dance-pop', 'ballad', 'disco', 'jazz', 'contemporary r&b', 'pop', 'electronic', 'dance']",USUG11904206
221.52,25,[],USUG12208791
,0,[],TCJPA2420090
156.946,65,['pop'],GBUM72205415
190.866,2,[],ROCMA2413380
,0,[],RUA1H2406425
178.0,14,[],KRA302400090
178.0,2,"['jazz', 'reggaeton']",QM6MZ2214877
265.56,7,"['southern hip hop', 'hip hop', 'slow motion', 'blues']",USCM52400059
219.813,22,['pop'],NGA3B2214004
264.0,10,['rap/hip hop'],QZ7XS2400012
154.0,26,"['pop', 'soul']",USRC12204584
222.0,39,"['pop', 'soundtrack', 'pop music']",USUM72307484
228.0,1,[],QZA742305720
238.805,83,"['psychedelic pop', 'indietronica', 'pop rock', 'synth-pop', 'contemporary r&b', 'pop', 'englisch']",GBUM72000433
216.0,5,[],USWB11201322
217.133,9,[],UYB282301031
,0,[],UKACT2330463
113.513,57,"['country', 'country rap', 'meme', 'alternative hip hop', 'pop', 'country hip hop', 'alternative']",USSM11901941
194.0,3,"['norteño', 'regional mexicano', 'latin pop', 'reggaeton']",QM6N22311285
229.0,5,['rap/hip hop'],GBUM72305159
303.0,25,['alternative'],USUM72401988
199.066,18,['reggaeton'],USUM72222541
263.4,63,"['pop rock', 'englisch', 'rock', 'r&b', 'europop', 'indie pop', 'ed sheeran does not make sillyname tracks ಠ_ಠ', 'sillyname', 'ballad', 'singer-songwriter', 'pop', 'folk']",GBAHS1700024
287.0,20,"['pop', 'latin']",USSD12100307
,0,[],GBLTF2300027
165.0,1,[],USE7D2300007
176.579,32,"['pop music', 'disco', 'soundtrack', 'pop', 'dance-pop']",USAT22305457
234.352,4,"['regional mexicano', 'corrido tumbado']",MXF152300159
271.0,8,['hip hop'],USSM12309164
224.0,16,"['рок', 'pop music', 'международная поп-музыка', 'поп', 'rhythm and blues', 'ballad', 'jazz', 'pop', 'soul', 'rap/hip hop', 'blue-eyed soul', 'electronic', 'ambient']",USSM12105970
243.0,2,"['dembow', 'jazz', 'electronic', 'reggaeton']",QM6MZ2214878
223.878,2,[],USQX92302957
200.68,98,"['alternative pop', 'indie folk', 'pop music', 'pop rock', 'synth-pop', 'country pop', 'electro', 'pop', 'country music']",USUG12205736
199.066,1,[],UYB282201028
160.0,4,['asian music'],USA2P2413259
,0,[],USSD12300307
172.264,1,[],USA2P2357356
131.013,16,['pop'],GBAYE2300015
202.0,10,['soul'],USRC12204591
197.333,3,['funk'],QMFMF2388143
265.0,11,[],USRC12301954
132.359,10,['alternative rock'],GBCEN2300147
,0,[],GXD7G2413058
114.234,7,"['pop', 'country']",USAR12300323
267.194,1,['trap latino'],QMFME2364182
201.99,1,[],USSM12002399
231.545,13,"['euro house', 'house', 'dance']",GBBKS2300080
209.48,41,"['psychedelic pop', 'euro-disco', 'europop', 'electropop', 'disco', 'pop', 'eurodisco', 'nu disco', 'dance-pop']",GBAHT2301078
228.266,9,['hip hop'],USSM12402033
196.0,9,[],KRA302400093
196.652,18,['pop'],USAT21906978
212.352,14,"['pop', 'isrc']",USSM12104539
144.846,8,['electro'],DEE862400427
265.0,10,['country'],US6XF2200436
170.2,5,['rap/hip hop'],JPU902305042
,0,[],SGB502208576
157.56,48,"['pop', 'melodic rap', 'hip hop']",USUM71814888
,0,[],GBKPL2205333
184.5865,7,['r&b'],USRC12400216
,0,[],BXT622400190
204.076,98,"['trance', 'pop rock', 'alternative', 'rock', 'jazz', 'indie rock', 'alternative rock', 'pop', 'pop general', 'electronic', 'dance']",USUM71700626
189.0,4,[],USSM12203789
212.0,29,[],USSM12305012
,0,[],QMDA72363047
173.947,27,"['pop', 'pop rap', 'hip hop']",USAT22203024
192.0,13,['hip hop'],USSM12305010
178.0,2,[],USUG12301493
,0,[],CA5KR2465999
148.12,40,"['pop', 'pop rock']",USUM72206227
154.0,7,[],USUG12305253
272.0,2,[],US2642250302
140.466,13,"['pop', 'hip hop', 'electronic']",USQX92003025
199.0,30,"['pop', 'synth funk', 'k-pop', 'dance-pop']",QM7282022872
,0,[],GXBAV2381801
182.173,160,"['matthew edward hall', 'ballad', 'ambiguous isrcs', 'pop', 'alternative']",DEUM71807062
171.674,10,[],USQX92302824
134.0,23,['pop'],USSM12204574
,0,[],QZMEQ2306756
,0,[],INS182401602
