ISRC,Genre,Track,Album Name,Artist,All Time Rank,Track Score,Spotify Streams,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,AirPlay Spins,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track,Length,Releases,Registration Country,Followers,TikTok Views per Post,TikTok Impact,TikTok View-to-Like Ratio,TikTok Likes per Post,YouTube View-to-Like Ratio,Shazam Conversion Rate,Days Since Release,Label Prob,Label
QM24S2402528,Other,MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,1,725.4,390470936,92,84274754,1713126,5767700,651565900,5332281936,40975,18004655,22931,2669262,0,155.151,1,United States,847504.0,924.5075048979662,1.09701595085974e-05,8.183795265860606,112.96804393986443,49.193523889355546,0.0004927968361219539,344,0.7345886231117319,1
USUG12400910,Rap,Not Like Us,Not Like Us,Kendrick Lamar,2,545.9,323703884,92,116347040,3486739,674700,35223547,208339025,40778,7780028,28444,1118279,1,274.192,5,United States,38589324.0,308.78764636134576,2.6540223430464875e-06,5.914765457471803,52.20615798701944,33.368430109500565,0.003444185375050865,336,0.7210773081491204,1
QZJ842400387,Other,i like the way you kiss me,I like the way you kiss me,Artemas,3,538.4,601309283,92,122599116,2228730,3025400,275154237,3369120610,74333,5022621,5639,5285340,0,143.1865,8,United States,1133424.0,1113.6116249091028,9.08335763061901e-06,12.244480166792851,90.9480220969055,55.00848509757346,0.00151367819104457,382,0.7714175279825369,1
USSM12209777,Other,Flowers,Flowers - Single,Miley Cyrus,4,444.9,2031280633,85,1096100899,10629796,7189811,1078757968,14603725994,1474799,190260277,203384,11822942,0,200.453,30,United States,25620499.0,2031.1696641260805,1.853086393895015e-06,13.53753706916996,150.03980187520898,103.11588255166114,0.0007530619337286051,814,0.7994850527715073,1
USAT22311371,Other,Lovin On Me,Lovin On Me,Jack Harlow,6,410.1,670665438,83,131148091,1392593,4202367,214943489,2938686633,522042,138529362,50982,4517131,1,138.411,13,United States,4106706.0,699.2931919082746,5.332088185532082e-06,13.671903405867281,51.148183357573636,94.17539570039796,0.0014714573925474115,512,0.7584373670150023,1
QZL382406049,Other,Gata Only,Gata Only,FloyyMenor,8,375.8,675079153,92,228382568,1439495,3500000,338546668,3804584163,17221,3372428,5762,6063523,1,222.0,2,United States,1519315.0,1087.0240465714285,4.759662925813872e-06,11.237990242934572,96.72759179211663,158.6545346426805,0.0015034894664238952,428,0.7506420598639203,1
USSM12404354,Rap,BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,10,330.6,90676573,86,32735244,988682,325800,121574500,974656200,3823,1005626,842,666302,1,140.733,3,United States,7803098.0,2991.578268876611,9.138707435599187e-05,8.01694592190841,373.15569933793944,33.10994929618492,0.0006614132007047171,317,0.7182619700906605,1
USUM72401991,Other,LUNCH,HIT ME HARD AND SOFT,Billie Eilish,13,316.3,221636195,92,40022524,1307290,195300,45889000,360017000,41344,1354692,1219,450344,0,179.0,33,United States,108177344.0,1843.405017921147,4.605918836757918e-05,7.8453876126002395,234.96551476950964,30.614854688053388,0.0011257487619504597,323,0.7690561355399457,1
NLC242100307,Other,bathroom floor,bathroom floor,Kids With Buns,15,301.6,297185,12,6736502312,16785489,3,1088,22234,1057,12737821,7818,3288,0,209.8415,3,Netherlands,10402.0,7411.333333333333,1.1001752822130046e-06,20.416896235078053,272.0,401.32890442876555,4.880855071572858e-07,911,0.5621084468883285,0
USWL12300002,Reggaeton,LALA,LALA - Single,Myke Towers,16,299.9,925655569,79,934302031,4294166,11054500,521725116,7499234052,92231,12171026,13242,2765808,1,197.0,2,United States,18900651.0,678.3874487312859,7.260900923859768e-07,14.373918003261476,47.1957183775188,217.5746846827336,0.00032795353840333436,745,0.7025175932223187,1
USUG12401028,Other,Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,17,297.6,395433400,89,104673836,2484083,139300,25348800,207317000,129968,9961769,13437,1210029,0,228.965,102,United States,133260215.0,1488.2770997846376,1.4218233920140308e-05,8.178572233061438,181.97141441913553,42.13780049305901,0.0038784119804133863,352,0.7567818881256438,1
USRC12301932,Other,greedy,greedy,Tate McRae,18,293.7,1258569694,87,141646818,1514837,2294429,419319161,5456156211,667329,44850379,12270,6973652,1,131.6,10,United States,6985703.0,2378.0017647092154,1.6788246862848474e-05,13.011941035501735,182.75526427042882,93.50624819287607,0.001245783740983112,569,0.7731434239058259,1
USUM72401996,Other,BLUE,HIT ME HARD AND SOFT,Billie Eilish,19,292.6,91272461,86,16038053,569377,941900,119740900,1225345800,181,283089,162,257661,0,343.0,25,United States,108177344.0,1300.9298226988003,8.111519157491304e-05,10.233310337292352,127.12684241762139,28.16767244256013,0.00020755949029767226,323,0.6335615336208005,1
USSM12200612,Other,As It Was,As It Was,Harry Styles,20,292.0,3301814535,87,800899315,9101589,2755903,1633970617,15405881843,1777811,132624772,79909,14967379,0,167.303,11,United States,33494456.0,5590.139363758449,6.9798278661015226e-06,9.428493801104567,592.8982348441746,87.99553869159125,0.0009235257052686411,1101,0.8189679621796717,1
USRC12300907,Other,Paint The Town Red,Paint The Town Red,Doja Cat,21,290.5,1065399331,78,240970670,2749668,3091732,652428798,7095564106,400899,70291476,49111,7559816,1,231.875,23,United States,32821019.0,2295.012667980278,9.524033188172837e-06,10.875614499046662,211.02365501807563,87.63624639911204,0.0010304341531508835,610,0.7445777012347516,1
USUM72403305,Other,Espresso,Espresso,Sabrina Carpenter,22,281.5,547882871,95,107550212,1825761,209200,169144295,1379499000,37208,10362898,10848,1373085,1,175.0,43,United States,19829460.0,6594.163479923518,6.131241673992332e-05,8.155752411538607,808.5252699556886,58.907027312431744,0.0009233621779267907,358,0.7825325426395232,1
USSM12401302,Other,TEXAS HOLD 'EM,COWBOY CARTER,Beyoncé,24,278.9,426700979,86,35724356,437980,1470500,485200392,6518604175,309497,13860535,36282,2100708,1,233.453,14,United States,39779422.0,4432.91681400884,0.0001240866788451599,13.434869940428923,329.95583954040154,81.56599487192366,0.0003205069733297281,420,0.7724273428981672,1
BXWEH2200054,Other,Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,26,268.1,7382759,35,4233958,69990,37621885,1636811753,22918660728,5991,12737821,7818,633525,0,196.897,1,Brazil,10212.0,609.1842747379617,0.00014388053231926943,14.002013775861485,43.50690321585685,60.492891943249845,2.763721635729033e-05,1047,0.5302440251083596,0
USSM12103949,Other,STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,27,266.3,3107100349,78,1256973582,14661425,7485966,2246991336,23712377029,1510151,196783487,124922,855525,1,141.806,21,United States,6135966.0,3167.577441441759,2.5200031920175676e-06,10.552945460243222,300.160465040789,85.73337832213592,3.426300560611472e-05,1366,0.7884585479101016,1
KRE671700001,Other,Baby Shark,Pinkfong Animal Songs,Pinkfong,28,265.7,720822868,71,16322756555,48757673,7743800,281762094,6577639193,284,86458847,2234137,2064420,0,96.329,6,South Korea,400836.0,849.4071635372815,5.203821797030062e-08,23.344656040408843,36.38550293324945,334.77307705449607,9.014778707875158e-05,3413,0.5929070344756614,0
